+------------------------------------------------------------+-------------------------+----------------------------+--------------------+---------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------+----------------------------------------------------------------+--------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------+
| Package                                                    | Version                 | License Information Origin | License Expression | License Url                                 | Copyright                                                                                                                                                 | Authors                                                 | Package Project Url                                            | Error                                                  | Error Context                                                                                                     |
| Microsoft.Extensions.Hosting.Abstractions                  | 9.0.3                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://dot.net/                                               |                                                        |                                                                                                                   |
| Microsoft.Extensions.Http                                  | 9.0.3                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://dot.net/                                               |                                                        |                                                                                                                   |
| Microsoft.Extensions.Http.Resilience                       | 9.0.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://dot.net/                                               |                                                        |                                                                                                                   |
| Microsoft.Extensions.Localization.Abstractions             | 9.0.3                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://asp.net/                                               |                                                        |                                                                                                                   |
| Microsoft.Extensions.Logging                               | 9.0.3                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://dot.net/                                               |                                                        |                                                                                                                   |
| Microsoft.Extensions.Logging.Abstractions                  | 9.0.3                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://dot.net/                                               |                                                        |                                                                                                                   |
| Microsoft.Extensions.Options                               | 9.0.3                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://dot.net/                                               |                                                        |                                                                                                                   |
| Microsoft.Extensions.Options.ConfigurationExtensions       | 9.0.3                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://dot.net/                                               |                                                        |                                                                                                                   |
| Microsoft.Extensions.ServiceDiscovery                      | 9.0.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://github.com/dotnet/aspire                               |                                                        |                                                                                                                   |
| Microsoft.Extensions.TimeProvider.Testing                  | 9.0.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://dot.net/                                               |                                                        |                                                                                                                   |
| Microsoft.NET.Test.Sdk                                     | 17.11.1                 | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://github.com/microsoft/vstest                            |                                                        |                                                                                                                   |
| Moq                                                        | 4.20.72                 | Expression                 | BSD-3-Clause       | https://licenses.nuget.org/BSD-3-Clause     | Copyright (c) 2007, Clarius Consulting, Manas Technology Solutions, InSTEDD, and Contributors. All rights reserved.                                       | Daniel Cazzulino, kzu                                   | https://github.com/moq/moq                                     |                                                        |                                                                                                                   |
| NetTopologySuite                                           | 2.6.0                   | Expression                 | BSD-3-Clause       | https://licenses.nuget.org/BSD-3-Clause     | Copyright © 2006 - 2025 NetTopologySuite - Team, Diego Guidi, John Diss (www.newgrove.com), Felix Obermaier (www.ivv-aachen.de), Todd Jackson, Joe Amenta | NetTopologySuite - Team                                 |                                                                |                                                        |                                                                                                                   |
| NetTopologySuite.IO.GeoJSON                                | 4.0.0                   | Expression                 | BSD-3-Clause       | https://licenses.nuget.org/BSD-3-Clause     | Copyright © 2023 NetTopologySuite - Team                                                                                                                  | NetTopologySuite - Team                                 |                                                                |                                                        |                                                                                                                   |
| NetTopologySuite.IO.PostGis                                | 2.1.0                   | Expression                 | BSD-3-Clause       | https://licenses.nuget.org/BSD-3-Clause     | Copyright © 2021 NetTopologySuite - Team                                                                                                                  | NetTopologySuite - Team                                 |                                                                |                                                        |                                                                                                                   |
| Npgsql.EntityFrameworkCore.PostgreSQL                      | 9.0.1                   | Expression                 | PostgreSQL         | https://licenses.nuget.org/PostgreSQL       | Copyright 2024 © The Npgsql Development Team                                                                                                              | Shay Rojansky,Austin Drenski,Yoh Deadfall               | https://github.com/npgsql/efcore.pg                            |                                                        |                                                                                                                   |
| Npgsql.EntityFrameworkCore.PostgreSQL.NetTopologySuite     | 9.0.1                   | Expression                 | PostgreSQL         | https://licenses.nuget.org/PostgreSQL       | Copyright 2024 © The Npgsql Development Team                                                                                                              | Shay Rojansky                                           | https://github.com/npgsql/efcore.pg                            |                                                        |                                                                                                                   |
| Npgsql.NetTopologySuite                                    | 9.0.1                   | Expression                 | PostgreSQL         | https://licenses.nuget.org/PostgreSQL       | Copyright 2024 © The Npgsql Development Team                                                                                                              | Shay Rojansky,Yoh Deadfall                              | https://github.com/npgsql/npgsql                               |                                                        |                                                                                                                   |
| Npgsql.OpenTelemetry                                       | 9.0.2                   | Expression                 | PostgreSQL         | https://licenses.nuget.org/PostgreSQL       | Copyright 2024 © The Npgsql Development Team                                                                                                              | Shay Rojansky                                           | https://github.com/npgsql/npgsql                               |                                                        |                                                                                                                   |
| Nuke.Common                                                | 9.0.3                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | Copyright 2024 Maintainers of NUKE                                                                                                                        | Matthias Koch and contributors                          | https://nuke.build/                                            |                                                        |                                                                                                                   |
| OpenTelemetry                                              | 1.11.2                  | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       | Copyright The OpenTelemetry Authors                                                                                                                       | OpenTelemetry Authors                                   | https://opentelemetry.io/                                      |                                                        |                                                                                                                   |
| OpenTelemetry.Exporter.Console                             | 1.11.2                  | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       | Copyright The OpenTelemetry Authors                                                                                                                       | OpenTelemetry Authors                                   | https://opentelemetry.io/                                      |                                                        |                                                                                                                   |
| OpenTelemetry.Exporter.OpenTelemetryProtocol               | 1.11.2                  | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       | Copyright The OpenTelemetry Authors                                                                                                                       | OpenTelemetry Authors                                   | https://opentelemetry.io/                                      |                                                        |                                                                                                                   |
| OpenTelemetry.Exporter.Prometheus.AspNetCore               | 1.11.2-beta.1           | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       | Copyright The OpenTelemetry Authors                                                                                                                       | OpenTelemetry Authors                                   | https://opentelemetry.io/                                      |                                                        |                                                                                                                   |
| OpenTelemetry.Extensions.Hosting                           | 1.11.2                  | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       | Copyright The OpenTelemetry Authors                                                                                                                       | OpenTelemetry Authors                                   | https://opentelemetry.io/                                      |                                                        |                                                                                                                   |
| OpenTelemetry.Instrumentation.AspNetCore                   | 1.11.1                  | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       | Copyright The OpenTelemetry Authors                                                                                                                       | OpenTelemetry Authors                                   | https://opentelemetry.io/                                      |                                                        |                                                                                                                   |
| OpenTelemetry.Instrumentation.EntityFrameworkCore          | 1.11.0-beta.2           | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       | Copyright The OpenTelemetry Authors                                                                                                                       | OpenTelemetry Authors                                   | https://opentelemetry.io/                                      |                                                        |                                                                                                                   |
| OpenTelemetry.Instrumentation.GrpcNetClient                | 1.11.0-beta.2           | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       | Copyright The OpenTelemetry Authors                                                                                                                       | OpenTelemetry Authors                                   | https://opentelemetry.io/                                      |                                                        |                                                                                                                   |
| OpenTelemetry.Instrumentation.Http                         | 1.11.1                  | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       | Copyright The OpenTelemetry Authors                                                                                                                       | OpenTelemetry Authors                                   | https://opentelemetry.io/                                      |                                                        |                                                                                                                   |
| OpenTelemetry.Instrumentation.Process                      | 1.11.0-beta.2           | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       | Copyright The OpenTelemetry Authors                                                                                                                       | OpenTelemetry Authors                                   | https://opentelemetry.io/                                      |                                                        |                                                                                                                   |
| OpenTelemetry.Instrumentation.Runtime                      | 1.11.1                  | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       | Copyright The OpenTelemetry Authors                                                                                                                       | OpenTelemetry Authors                                   | https://opentelemetry.io/                                      |                                                        |                                                                                                                   |
| Polly                                                      | 8.5.0                   | Expression                 | BSD-3-Clause       | https://licenses.nuget.org/BSD-3-Clause     | Copyright (c) 2024, App vNext                                                                                                                             | Michael Wolfenden, App vNext                            | https://github.com/App-vNext/Polly                             |                                                        |                                                                                                                   |
